PGSC0003DMG400018428,GO:0044699
PGSC0003DMG400018429,GO:0050896
PGSC0003DMG400018461,GO:0008150
PGSC0003DMG400018462,GO:0008150
PGSC0003DMG400018464,GO:0050896
PGSC0003DMG400018515,GO:0015689
PGSC0003DMG400018535,GO:0008150
PGSC0003DMG400018551,GO:0006810
PGSC0003DMG400018565,GO:0044710
PGSC0003DMG400018622,GO:0008152
PGSC0003DMG400018761,GO:0034220
PGSC0003DMG400018789,GO:0008152
PGSC0003DMG400018819,GO:0065008
PGSC0003DMG400018914,GO:0008152
PGSC0003DMG400018924,GO:0008152
PGSC0003DMG400018937,GO:0008152
PGSC0003DMG400018942,GO:0009987
PGSC0003DMG400019033,GO:0008150
PGSC0003DMG400019088,GO:0065007
PGSC0003DMG400019100,GO:0055085
PGSC0003DMG400019110,GO:0009813
PGSC0003DMG400019139,GO:0065007
PGSC0003DMG400019189,GO:0005975
PGSC0003DMG400019232,GO:0019219
PGSC0003DMG400019241,GO:0008037
PGSC0003DMG400019272,GO:0008150
PGSC0003DMG400019276,GO:0006793
PGSC0003DMG400019279,GO:0006950
PGSC0003DMG400019294,GO:0043170
PGSC0003DMG400019379,GO:0051239
PGSC0003DMG400019386,GO:0044710
PGSC0003DMG400019402,GO:0034641
PGSC0003DMG400019418,GO:0006952
PGSC0003DMG400019435,GO:0090304
PGSC0003DMG400019437,GO:0006950
PGSC0003DMG400019508,GO:0071704
PGSC0003DMG400019510,GO:0044271
PGSC0003DMG400019511,GO:0071704
PGSC0003DMG400019528,GO:0043170
PGSC0003DMG400019563,GO:0006412
PGSC0003DMG400019693,GO:0050794
PGSC0003DMG400019725,GO:0006464
PGSC0003DMG400019764,GO:0044260
PGSC0003DMG400019824,GO:0031323
PGSC0003DMG400019872,GO:0042592
PGSC0003DMG400019936,GO:0071840
PGSC0003DMG400019971,GO:0051239
PGSC0003DMG400020017,GO:0044238
PGSC0003DMG400020086,GO:0043170
PGSC0003DMG400020108,GO:0043170
PGSC0003DMG400020118,GO:0008152
